,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
29479,The Seed School of Maryland,200 Font Hill Avenue,Baltimore,MD,21223,Supplemental Virtual,234.0,403.0,1.0,40.0,39.284040000000005,-76.66409200000001,11-City: Large,10.08,Regular school,Currently operational ,High
29480,Allegany High,900 Seton Dr,Cumberland,MD,21502,Supplemental Virtual,271.0,736.0,628.0,44.75,39.655803999999996,-78.795466,13-City: Small,16.45,Regular school,Currently operational ,High
29487,Fort Hill High,500 Greenway Ave,Cumberland,MD,21502,Supplemental Virtual,270.0,657.0,556.0,45.0,39.644364,-78.74810699999999,13-City: Small,14.6,Regular school,Currently operational ,High
29501,Mountain Ridge High School,100 Dr. Nancy S. Grasmick,Frostburg,MD,21532,Supplemental Virtual,261.0,771.0,712.0,46.5,39.650263,-78.913692,23-Suburb: Small,16.58,Regular school,Currently operational ,High
29504,Annapolis High,2700 Riva Rd,Annapolis,MD,21401,Supplemental Virtual,1144.0,2134.0,638.0,142.100006103516,38.9745,-76.5656,21-Suburb: Large,15.02,Regular school,Currently operational ,High
29507,Arundel High,1001 Annapolis Rd,Gambrills,MD,21054,Supplemental Virtual,383.0,1876.0,873.0,100.55999755859399,39.0712,-76.682,21-Suburb: Large,18.66,Regular school,Currently operational ,High
29521,South River High,201 Central Ave  E,Edgewater,MD,21037,Supplemental Virtual,274.0,1916.0,1415.0,110.76999664306601,38.922,-76.56,21-Suburb: Large,17.3,Regular school,Currently operational ,High
29523,Chesapeake High,4798 Mountain Rd,Pasadena,MD,21122,Supplemental Virtual,262.0,1412.0,1183.0,85.6500015258789,39.1107,-76.4623,21-Suburb: Large,16.49,Regular school,Currently operational ,High
29539,Glen Burnie High,7550 Baltimore Annapolis Blvd,Glen Burnie,MD,21060,Supplemental Virtual,1107.0,2132.0,798.0,134.600006103516,39.1594,-76.617,21-Suburb: Large,15.84,Regular school,Currently operational ,High
29562,Meade High,1100 Clark Road,Ft Meade,MD,20755,Supplemental Virtual,1101.0,2087.0,245.0,127.400001525879,39.1224,-76.7378,21-Suburb: Large,16.38,Regular school,Currently operational ,High
29565,Northeast High,1121 Duvall Hwy,Pasadena,MD,21122,Supplemental Virtual,455.0,1364.0,979.0,77.3499984741211,39.1444,-76.5291,21-Suburb: Large,17.63,Regular school,Currently operational ,High
29571,Old Mill High,600 Patriot Ln,Millersville,MD,21108,Supplemental Virtual,977.0,2364.0,906.0,140.0,39.122621,-76.62826,21-Suburb: Large,16.89,Regular school,Currently operational ,High
29588,Severna Park High,60 Robinson Rd,Severna Park,MD,21146,Supplemental Virtual,107.0,1880.0,1525.0,99.0699996948242,39.076969,-76.560963,21-Suburb: Large,18.98,Regular school,Currently operational ,High
29593,Southern High,4400 Solomons Island Rd,Harwood,MD,20776,Supplemental Virtual,307.0,1032.0,719.0,66.0,38.8686,-76.6192,41-Rural: Fringe,15.64,Regular school,Currently operational ,High
29604,Chesapeake Science Point,7321 Parkway Drive South,Hanover,MD,21076,Supplemental Virtual,108.0,500.0,138.0,32.0,39.167998,-76.734678,21-Suburb: Large,15.63,Regular school,Currently operational ,High
29605,Broadneck High,1265 Green Holly Dr,Annapolis,MD,21409,Supplemental Virtual,301.0,2233.0,1634.0,121.930000305176,39.0398,-76.4536,21-Suburb: Large,18.31,Regular school,Currently operational ,High
29622,North County High,10 East 1st Avenue,Glen Burnie,MD,21061,Supplemental Virtual,1333.0,2327.0,963.0,139.600006103516,39.1931,-76.6373,21-Suburb: Large,16.67,Regular school,Currently operational ,High
29628,Baltimore City College,3220 The Alameda,Baltimore,MD,21218,Supplemental Virtual,554.0,1439.0,256.0,70.5,39.3258,-76.5971,11-City: Large,20.41,Regular school,Currently operational ,High
29629,Baltimore Polytechnic Institute,1400 W Cold Spring Lane,Baltimore,MD,21209,Supplemental Virtual,560.0,1619.0,279.0,77.5,39.346,-76.6431,11-City: Large,20.89,Regular school,Currently operational ,High
29635,Benjamin Franklin High School at Masonville Cove,1201 Cambria Street,Baltimore,MD,21225,Supplemental Virtual,369.0,638.0,149.0,37.0,39.2327,-76.5936,11-City: Large,17.24,Regular school,Currently operational ,High
29657,Forest Park High,3701 Eldorado Avenue,Baltimore,MD,21207,Supplemental Virtual,474.0,726.0,11.0,45.5,39.3326,-76.6894,11-City: Large,15.96,Regular school,Currently operational ,High
