,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
29479,The Seed School of Maryland,200 Font Hill Avenue,Baltimore,MD,21223,Supplemental Virtual,234.0,403.0,1.0,40.0,39.284040000000005,-76.66409200000001,11-City: Large,10.08,Regular school,Currently operational ,High
29480,Allegany High,900 Seton Dr,Cumberland,MD,21502,Supplemental Virtual,271.0,736.0,628.0,44.75,39.655803999999996,-78.795466,13-City: Small,16.45,Regular school,Currently operational ,High
29481,Beall Elementary,3 E College Ave,Frostburg,MD,21532,Supplemental Virtual,208.0,445.0,384.0,29.350000381469698,39.6543,-78.9318,23-Suburb: Small,15.16,Regular school,Currently operational ,Elementary
29482,Bel Air Elementary,14401 Barton Blvd,Cumberland,MD,21502,Supplemental Virtual,94.0,216.0,202.0,16.0,39.5788,-78.8537,41-Rural: Fringe,13.5,Regular school,Currently operational ,Elementary
29483,Braddock Middle,909 Holland St,Cumberland,MD,21502,Supplemental Virtual,278.0,605.0,502.0,42.3600006103516,39.665978,-78.770949,13-City: Small,14.28,Regular school,Currently operational ,Middle
29484,Westmar Middle,16915 Lower George's Creek Rd Sw,Lonaconing,MD,21539,Supplemental Virtual,139.0,256.0,241.0,23.260000228881804,39.5612,-78.988,41-Rural: Fringe,11.01,Regular school,Currently operational ,Middle
29485,Cresaptown Elementary,13202 6th Ave,Cresaptown,MD,21502,Supplemental Virtual,142.0,287.0,251.0,19.1000003814697,39.5898,-78.8314,41-Rural: Fringe,15.03,Regular school,Currently operational ,Elementary
29486,Flintstone Elementary,22000 National Pike Ne,Flintstone,MD,21530,Supplemental Virtual,88.0,205.0,193.0,15.3999996185303,39.701415999999995,-78.56444300000001,42-Rural: Distant,13.31,Regular school,Currently operational ,Elementary
29487,Fort Hill High,500 Greenway Ave,Cumberland,MD,21502,Supplemental Virtual,270.0,657.0,556.0,45.0,39.644364,-78.74810699999999,13-City: Small,14.6,Regular school,Currently operational ,High
29488,Frost Elementary,260 Shaw St,Frostburg,MD,21532,Supplemental Virtual,43.0,192.0,179.0,15.3000001907349,39.671564000000004,-78.93008499999999,23-Suburb: Small,12.55,Regular school,Currently operational ,Elementary
29489,George's Creek Elementary,15600 Lower Georges Creek Rd Sw,Lonaconing,MD,21539,Supplemental Virtual,130.0,244.0,241.0,20.1000003814697,39.5782,-78.9638,41-Rural: Fringe,12.14,Regular school,Currently operational ,Elementary
29490,John Humbird Elementary,120 Mary St,Cumberland,MD,21502,Supplemental Virtual,174.0,233.0,176.0,19.1000003814697,39.6256,-78.7656,13-City: Small,12.2,Regular school,Currently operational ,Elementary
29491,Mount Savage Middle,13201 New School Rd  Nw,Mount Savage,MD,21545,Supplemental Virtual,146.0,383.0,355.0,29.0,39.7011,-78.88,41-Rural: Fringe,13.21,Regular school,Currently operational ,Middle
29492,Northeast Elementary,11001 Forest Ave Ne,Cumberland,MD,21502,Supplemental Virtual,134.0,269.0,228.0,18.2000007629395,39.678793,-78.758712,41-Rural: Fringe,14.78,Regular school,Currently operational ,Elementary
29493,Parkside Elementary,50 Parkside Blvd,Lavale,MD,21502,Supplemental Virtual,97.0,178.0,134.0,15.0,39.6442,-78.8285,23-Suburb: Small,11.87,Regular school,Currently operational ,Elementary
29495,Washington Middle,200 Massachusetts Ave,Cumberland,MD,21502,Supplemental Virtual,298.0,609.0,516.0,43.459999084472706,39.638529999999996,-78.745823,13-City: Small,14.01,Regular school,Currently operational ,Middle
29496,West Side Elementary,425 Paca St,Cumberland,MD,21502,Supplemental Virtual,183.0,319.0,240.0,26.5,39.6498,-78.7728,13-City: Small,12.04,Regular school,Currently operational ,Elementary
29497,Westernport Elementary,172 Church St,Westernport,MD,21562,Supplemental Virtual,126.0,256.0,239.0,18.6000003814697,39.482110999999996,-79.04188,31-Town: Fringe,13.76,Regular school,Currently operational ,Elementary
29498,Cash Valley Elementary,10601 Cash Valley Rd Nw,Lavale,MD,21502,Supplemental Virtual,142.0,273.0,226.0,24.7000007629395,39.669002,-78.81398,41-Rural: Fringe,11.05,Regular school,Currently operational ,Elementary
29499,South Penn Elementary,500 E 2nd St,Cumberland,MD,21502,Supplemental Virtual,334.0,497.0,361.0,44.6500015258789,39.6359,-78.7566,13-City: Small,11.13,Regular school,Currently operational ,Elementary
